"MUT1"	"MUT2"	"MUT3"	"MUT4"	"WT1"	"WT2"	"WT3"	"WT4"
"Adam1a"	23.8729599945906	34.0775633435986	36.9648502582778	37.5899631832751	21.2652658362675	31.0117946480143	27.1267733478376	37.6073021065774
"Adam22"	258.782886341362	243.867562677628	263.234539718039	266.351739127207	303.6679961419	351.467006010829	279.987053483038	324.36298066923
"Adam23"	116.500044773602	104.362537739771	129.937049392734	126.731875875042	87.6128952454222	119.912272638989	93.9748933835803	161.711399058283
"Adam5"	12.4139391971871	10.6492385448746	13.4417637302829	11.8139884290293	23.8170977366196	13.4384443474729	15.5010133416215	26.3251114746042
"Adam8"	20.0532863954561	35.1424871980861	32.4842623481836	30.0719705466201	33.1738147045773	27.9106151832129	29.0644000155403	39.4876672119063
"Adam9"	665.578124649185	671.966952181586	558.953341784262	572.441439333876	701.753772596828	649.180234631767	605.50833365709	645.905413680467
"Adamts1"	1075.23811815636	1014.87243332655	1075.34109842263	1157.77086604487	1235.08663977042	1114.35715435198	1064.72585390263	1060.52591940548
"Adamts10"	485.098547090081	485.605277646281	469.341583582376	553.109458268191	561.403018077463	484.817722997291	547.379533626009	620.520484758527
"Adamts12"	461.22558709549	504.773907027055	511.907168728272	599.291413036215	538.436530974294	581.988012894402	575.475120307698	502.997665675473
"Adamts14"	43.9262463900467	43.6618780339858	47.04617305599	51.5519495084916	43.3811423059858	58.9224098312273	45.5342266910131	62.0520484758527
"Adamts15"	228.225497548286	250.257105804553	269.955421583181	274.943730711955	298.564332341196	389.714886076714	300.332133493916	267.952027509364
"Adamts16"	200.532863954561	189.556446098767	161.301164763394	129.953872719323	198.192277594013	166.42996461101	155.010133416215	121.283549293712
"Adamts17"	154.696780764947	178.907207553893	184.824251291389	236.279768580587	263.689296369717	230.521006883573	328.427720175605	305.559329615941
"Adamts18"	202.442700754128	224.698933296854	322.602329526788	386.639621313687	225.411817864436	195.37430628249	230.57757345662	520.861134176097
"Adamts19"	113.635289574251	146.959491919269	134.417637302828	122.435880082668	114.832435515845	115.77736668592	120.132853397567	153.249756084303
"Adamts2"	52.5205119880993	96.9080707583586	89.6117582018857	102.02990006889	164.167852255985	210.880203606498	140.477933408445	97.7789854771012
"Adamts20"	99.3115135774968	95.8431469038712	89.6117582018857	127.805874823135	113.981824882394	123.01345210379	147.259626745404	129.745192267692
"Adamts3"	72.5737983835554	57.5058881423227	64.9685246963671	73.0319284703631	80.8080101778166	79.5969395965702	106.569466723648	79.915516976477
"Adamts4"	102.176268776848	122.466243266058	123.216167527593	142.841860096446	142.051975786267	179.868408958483	136.602680073039	131.625557373021
"Adamts5"	234.909926346771	260.906344349427	276.676303448322	311.459694947137	385.326616953168	349.399553034295	379.774826869727	309.320059826599
"Adamts6"	94.5369215785787	132.050557956445	122.096020550069	180.431823279721	196.491056327112	180.90213544675	204.419613442633	201.199066270189
"Adamts7"	366.688665516911	379.112892197535	398.772323998391	498.335511915419	437.21386559366	461.042013767147	440.810066902361	433.424156778304
"Adamts9"	1501.13172445986	1594.19101016772	1609.65120670137	1748.47028749634	1883.25194245985	2030.23882295667	2002.53716107073	2105.06873541567
"Adamtsl1"	160.426291163649	214.049694751979	188.18469222396	223.391781203464	229.664871031689	223.284921465703	209.26368011189	178.634685006243
"Adamtsl3"	12.4139391971871	23.4283247987241	12.3216167527593	16.1099842214036	11.0579382348591	13.4384443474729	9.68813333851343	8.46164297397991
"Adamtsl4"	40.1065727909122	38.3372587615485	67.2088186514142	55.8479453008659	41.6799210390844	65.1247687608301	42.6277866894591	40.4278497645707
"Adap1"	23.8729599945906	25.558172507699	21.2827925729478	11.8139884290293	20.4146552028168	24.8094357184115	19.3762666770269	15.9831033952954
"Adar"	573.905958269958	595.292434658489	636.243483233388	585.329426710999	573.311566945773	624.370798913355	608.414773658644	679.751985576386
"Adarb1"	208.17221115283	214.049694751979	215.068219684526	223.391781203464	232.216702932041	253.26298962545	224.764693453512	223.763447534135
"Adat1"	180.479577559105	171.452740572481	187.064545246436	215.873788566809	179.478843658098	203.644118188628	186.980973433309	186.156145427558
"Adat2"	134.643494369491	161.868425882094	124.336314505116	144.989857992633	165.869073522887	147.822887822202	124.976920066823	145.728295662987
"Adat3"	27.6926335937251	40.4671064705234	31.36411537066	49.4039516123045	44.2317529394365	49.6188714368229	47.4718533587158	43.248397422564
"Adck1"	157.561535964298	152.284111191706	178.103369426248	152.507850629288	174.375179857394	181.935861935017	178.261653428647	165.472129268941
"Adck2"	129.868902370573	161.868425882094	136.657931257876	139.619863252165	142.902586419718	146.789161333935	158.88538675162	141.027382899665
"Adck5"	183.344332758456	173.582588281456	191.545133156531	166.469836954504	181.180064924999	185.037041399819	158.88538675162	175.814137348249
"Adcy1"	214.856639951315	202.335532352617	200.506308976719	240.575764372961	236.469756099295	261.532801531588	214.107746781147	238.806368376766
"Adcy2"	316.077990328379	306.698070092388	370.768649560302	428.525580289337	358.957687316196	339.062288151623	463.092773580942	433.424156778304
"Adcy3"	254.963212742227	230.023552569291	264.354686695563	249.16775595771	239.872198633098	279.106151832129	250.922653467498	246.327828798082
"Adcy4"	95.4918399783623	121.40131941157	106.413962864739	136.397866407884	107.176939814788	102.338922338447	152.103693414661	135.386287583679
"Adcy5"	41.0614911906958	24.4932486532115	29.1238214156128	51.5519495084916	29.7713721707745	43.4165125072201	37.7837200202024	36.667119553913
"Adcy6"	1465.79974366786	1576.08730464144	1492.0357740614	1485.34054521341	1493.67227233943	1491.66732256949	1354.40104072418	1425.31674983928
"Adcy7"	60.1598591863683	89.4536037769464	64.9685246963671	86.9939147955796	91.8659484126757	120.945999127256	80.4115067096615	72.3940565551615
"Adcy8"	8.59426559805261	7.4544669814122	11.2014697752357	11.8139884290293	13.6097701352112	14.47217083574	12.5945733400675	14.1027382899665
